source,target,value,count
AGG_Small_Holders_<100,14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,76356409.32354957,64
12C966ThimEBoc2cSKiAw9izLoDoheim2CbZAAhmiyptTt86,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,63355692.14244914,1
14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,AGG_Small_Holders_<100,56406632.92374874,60
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,51301461.75,1
14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,AGG_Reaped_Accounts,50135744.55889386,29
14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,14PtCrzCqhsRM67c3oNhdccfmH8TcgVUDsjx4YU9z3mPuMtQ,47697450.01,1
14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,121XBWYtqfkHREmMydrBkCugmD3HhtU9bDNbdx3omHquZV1V,43797919.71,1
1F1ntmAYdB5CV24n1QyND5ugmNwfdq4hzbQYjXg23QUhigS,16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,34362653.29401112,1
1Wmfs8ApDBxr46yFYv2TqMhYTnqP1uR62ULWhDCRn1BfNgZ,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,33391402.42166782,1
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,12Z6FSvMFRjno881i1qpFndrtZtcVCLs5v4nR92McQNX31CT,31097417.58321632,1
AGG_Small_Holders_<100,AGG_Reaped_Accounts,30160553.080756776,1642
12Z6FSvMFRjno881i1qpFndrtZtcVCLs5v4nR92McQNX31CT,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,24916528.907156818,1
14dNJ93NVq22sm2qDepzVjnGQjQKHWR4iimu5rVrZmf9UeGq,12T1tgaYZzEkFpnPvyqttmPRJxbGbR4uDx49cvZR5SRF8QDu,23628641.580716472,1
1fPRPdZtoBDaN1ZJ9c6XmhHKnSTD51Cpc8dgiBuCmxGLTET,12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz,22621026.648032542,1
AGG_Binance_Users,16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,21921159.81868371,1564
